id,difficulty,questionType,mechanic,skill,promptText,audioText,optionA,optionB,optionC,optionD,correctAnswer,stimulusJson,optionsJson,answerJson,hintJson,explanation,targetVocabulary,worldTags,estimatedSeconds,requiresMemoryPhase,notes
GB-0011,1,count_objects,bell_choice,counting,How many dogs are there?,How many dogs are there?,3,5,1,2,3,"{""type"": ""scene"", ""objects"": [{""assetKey"": ""animals_dog"", ""count"": 3, ""color"": null}], ""description"": ""3 dogs""}","[{""id"": ""A"", ""label"": ""3"", ""_correct"": true}, {""id"": ""B"", ""label"": ""5""}, {""id"": ""C"", ""label"": ""1""}, {""id"": ""D"", ""label"": ""2""}]","{""type"": ""option"", ""value"": ""A""}","{""afterWrong"": 2, ""text"": ""Count slowly: one, two, three..."", ""strategy"": ""count_bounce""}",There are 3 dogs.,dog|3,numbers,10,False,
GB-0012,1,action_recognition,listen_run,listening,Who is running?,Who is running?,JUMP,FLY,RUN,WRITE,RUN,"{""type"": ""actionCards""}","[{""id"": ""A"", ""label"": ""JUMP"", ""assetKey"": ""action_jump""}, {""id"": ""B"", ""label"": ""FLY"", ""assetKey"": ""action_fly""}, {""id"": ""C"", ""label"": ""RUN"", ""assetKey"": ""action_run"", ""_correct"": true}, {""id"": ""D"", ""label"": ""WRITE"", ""assetKey"": ""action_write""}]","{""type"": ""option"", ""value"": ""C""}","{""afterWrong"": 2, ""text"": ""Watch the actions. Find running."", ""strategy"": ""replay_motion""}",The correct action is run.,run,actions,10,False,
GB-0013,1,listen_find_picture,listen_run,listening,Listen and find: GRAPE.,Find the grape.,apple,cookie,orange,grape,grape,"{""type"": ""none""}","[{""id"": ""A"", ""label"": ""apple"", ""assetKey"": ""food_apple"", ""emoji"": ""🍎""}, {""id"": ""B"", ""label"": ""cookie"", ""assetKey"": ""food_cookie"", ""emoji"": ""🍪""}, {""id"": ""C"", ""label"": ""orange"", ""assetKey"": ""food_orange"", ""emoji"": ""🍊""}, {""id"": ""D"", ""label"": ""grape"", ""assetKey"": ""food_grape"", ""emoji"": ""🍇"", ""_correct"": true}]","{""type"": ""option"", ""value"": ""D""}","{""afterWrong"": 2, ""text"": ""Listen again: grape."", ""strategy"": ""pulse_correct_asset""}",The correct answer is grape.,grape,food,8,False,
GB-0014,1,picture_to_word,raise_board,vocabulary,What is this?,What is this?,BOARD,PEN,RULER,PENCIL,PENCIL,"{""type"": ""image"", ""assetKey"": ""school_pencil"", ""emoji"": ""✏️""}","[{""id"": ""A"", ""label"": ""BOARD""}, {""id"": ""B"", ""label"": ""PEN""}, {""id"": ""C"", ""label"": ""RULER""}, {""id"": ""D"", ""label"": ""PENCIL"", ""_correct"": true}]","{""type"": ""option"", ""value"": ""D""}","{""afterWrong"": 2, ""text"": ""Look at the picture and listen again."", ""strategy"": ""replay_prompt""}",This is pencil.,pencil,school,10,False,
GB-0015,1,color_recognition,answer_zone,vocabulary,Find WHITE.,Find white.,BROWN,WHITE,BLACK,PURPLE,WHITE,"{""type"": ""colorSwatches""}","[{""id"": ""A"", ""label"": ""BROWN"", ""assetKey"": ""color_brown""}, {""id"": ""B"", ""label"": ""WHITE"", ""assetKey"": ""color_white"", ""_correct"": true}, {""id"": ""C"", ""label"": ""BLACK"", ""assetKey"": ""color_black""}, {""id"": ""D"", ""label"": ""PURPLE"", ""assetKey"": ""color_purple""}]","{""type"": ""option"", ""value"": ""B""}","{""afterWrong"": 2, ""text"": ""Find the white color."", ""strategy"": ""soft_glow""}",The correct color is white.,white,colors,8,False,
GB-0016,1,shape_recognition,answer_zone,vocabulary,Find the STAR.,Find the star.,rectangle,triangle,heart,star,star,"{""type"": ""shapeSet""}","[{""id"": ""A"", ""label"": ""rectangle"", ""assetKey"": ""shape_rectangle"", ""emoji"": ""▭""}, {""id"": ""B"", ""label"": ""triangle"", ""assetKey"": ""shape_triangle"", ""emoji"": ""🔺""}, {""id"": ""C"", ""label"": ""heart"", ""assetKey"": ""shape_heart"", ""emoji"": ""❤️""}, {""id"": ""D"", ""label"": ""star"", ""assetKey"": ""shape_star"", ""emoji"": ""⭐"", ""_correct"": true}]","{""type"": ""option"", ""value"": ""D""}","{""afterWrong"": 2, ""text"": ""Look for the star."", ""strategy"": ""outline_hint""}",This shape is a star.,star,shapes,8,False,
GB-0017,1,count_objects,bell_choice,counting,How many dogs are there?,How many dogs are there?,4,1,3,2,1,"{""type"": ""scene"", ""objects"": [{""assetKey"": ""animals_dog"", ""count"": 1, ""color"": null}], ""description"": ""1 dogs""}","[{""id"": ""A"", ""label"": ""4""}, {""id"": ""B"", ""label"": ""1"", ""_correct"": true}, {""id"": ""C"", ""label"": ""3""}, {""id"": ""D"", ""label"": ""2""}]","{""type"": ""option"", ""value"": ""B""}","{""afterWrong"": 2, ""text"": ""Count slowly: one, two, three..."", ""strategy"": ""count_bounce""}",There are 1 dogs.,dog|1,numbers,10,False,
GB-0018,1,action_recognition,listen_run,listening,Who is writing?,Who is writing?,SWIM,DANCE,SLEEP,WRITE,WRITE,"{""type"": ""actionCards""}","[{""id"": ""A"", ""label"": ""SWIM"", ""assetKey"": ""action_swim""}, {""id"": ""B"", ""label"": ""DANCE"", ""assetKey"": ""action_dance""}, {""id"": ""C"", ""label"": ""SLEEP"", ""assetKey"": ""action_sleep""}, {""id"": ""D"", ""label"": ""WRITE"", ""assetKey"": ""action_write"", ""_correct"": true}]","{""type"": ""option"", ""value"": ""D""}","{""afterWrong"": 2, ""text"": ""Watch the actions. Find writing."", ""strategy"": ""replay_motion""}",The correct action is write.,write,actions,10,False,
GB-0019,1,listen_find_picture,listen_run,listening,Listen and find: PENCIL.,Find the pencil.,pencil,board,student,teacher,pencil,"{""type"": ""none""}","[{""id"": ""A"", ""label"": ""pencil"", ""assetKey"": ""school_pencil"", ""emoji"": ""✏️"", ""_correct"": true}, {""id"": ""B"", ""label"": ""board"", ""assetKey"": ""school_board""}, {""id"": ""C"", ""label"": ""student"", ""assetKey"": ""school_student""}, {""id"": ""D"", ""label"": ""teacher"", ""assetKey"": ""school_teacher""}]","{""type"": ""option"", ""value"": ""A""}","{""afterWrong"": 2, ""text"": ""Listen again: pencil."", ""strategy"": ""pulse_correct_asset""}",The correct answer is pencil.,pencil,school,8,False,
GB-0020,1,picture_to_word,raise_board,vocabulary,What is this?,What is this?,BOX,CUP,WINDOW,TABLE,CUP,"{""type"": ""image"", ""assetKey"": ""home_cup"", ""emoji"": ""🥤""}","[{""id"": ""A"", ""label"": ""BOX""}, {""id"": ""B"", ""label"": ""CUP"", ""_correct"": true}, {""id"": ""C"", ""label"": ""WINDOW""}, {""id"": ""D"", ""label"": ""TABLE""}]","{""type"": ""option"", ""value"": ""B""}","{""afterWrong"": 2, ""text"": ""Look at the picture and listen again."", ""strategy"": ""replay_prompt""}",This is cup.,cup,home,10,False,
GB-0021,1,color_recognition,answer_zone,vocabulary,Find PURPLE.,Find purple.,YELLOW,WHITE,PURPLE,PINK,PURPLE,"{""type"": ""colorSwatches""}","[{""id"": ""A"", ""label"": ""YELLOW"", ""assetKey"": ""color_yellow""}, {""id"": ""B"", ""label"": ""WHITE"", ""assetKey"": ""color_white""}, {""id"": ""C"", ""label"": ""PURPLE"", ""assetKey"": ""color_purple"", ""_correct"": true}, {""id"": ""D"", ""label"": ""PINK"", ""assetKey"": ""color_pink""}]","{""type"": ""option"", ""value"": ""C""}","{""afterWrong"": 2, ""text"": ""Find the purple color."", ""strategy"": ""soft_glow""}",The correct color is purple.,purple,colors,8,False,
GB-0022,1,shape_recognition,answer_zone,vocabulary,Find the RECTANGLE.,Find the rectangle.,rectangle,triangle,heart,star,rectangle,"{""type"": ""shapeSet""}","[{""id"": ""A"", ""label"": ""rectangle"", ""assetKey"": ""shape_rectangle"", ""emoji"": ""▭"", ""_correct"": true}, {""id"": ""B"", ""label"": ""triangle"", ""assetKey"": ""shape_triangle"", ""emoji"": ""🔺""}, {""id"": ""C"", ""label"": ""heart"", ""assetKey"": ""shape_heart"", ""emoji"": ""❤️""}, {""id"": ""D"", ""label"": ""star"", ""assetKey"": ""shape_star"", ""emoji"": ""⭐""}]","{""type"": ""option"", ""value"": ""A""}","{""afterWrong"": 2, ""text"": ""Look for the rectangle."", ""strategy"": ""outline_hint""}",This shape is a rectangle.,rectangle,shapes,8,False,
GB-0023,1,count_objects,bell_choice,counting,How many apples are there?,How many apples are there?,3,5,2,4,3,"{""type"": ""scene"", ""objects"": [{""assetKey"": ""food_apple"", ""count"": 3, ""color"": null}], ""description"": ""3 apples""}","[{""id"": ""A"", ""label"": ""3"", ""_correct"": true}, {""id"": ""B"", ""label"": ""5""}, {""id"": ""C"", ""label"": ""2""}, {""id"": ""D"", ""label"": ""4""}]","{""type"": ""option"", ""value"": ""A""}","{""afterWrong"": 2, ""text"": ""Count slowly: one, two, three..."", ""strategy"": ""count_bounce""}",There are 3 apples.,apple|3,numbers,10,False,
GB-0024,1,action_recognition,listen_run,listening,Who is standing?,Who is standing?,DANCE,STAND,SWIM,FLY,STAND,"{""type"": ""actionCards""}","[{""id"": ""A"", ""label"": ""DANCE"", ""assetKey"": ""action_dance""}, {""id"": ""B"", ""label"": ""STAND"", ""assetKey"": ""action_stand"", ""_correct"": true}, {""id"": ""C"", ""label"": ""SWIM"", ""assetKey"": ""action_swim""}, {""id"": ""D"", ""label"": ""FLY"", ""assetKey"": ""action_fly""}]","{""type"": ""option"", ""value"": ""B""}","{""afterWrong"": 2, ""text"": ""Watch the actions. Find standing."", ""strategy"": ""replay_motion""}",The correct action is stand.,stand,actions,10,False,
GB-0025,1,listen_find_picture,listen_run,listening,Listen and find: BOOK.,Find the book.,book,pen,bag,teacher,book,"{""type"": ""none""}","[{""id"": ""A"", ""label"": ""book"", ""assetKey"": ""school_book"", ""emoji"": ""📘"", ""_correct"": true}, {""id"": ""B"", ""label"": ""pen"", ""assetKey"": ""school_pen"", ""emoji"": ""🖊️""}, {""id"": ""C"", ""label"": ""bag"", ""assetKey"": ""school_bag"", ""emoji"": ""🎒""}, {""id"": ""D"", ""label"": ""teacher"", ""assetKey"": ""school_teacher""}]","{""type"": ""option"", ""value"": ""A""}","{""afterWrong"": 2, ""text"": ""Listen again: book."", ""strategy"": ""pulse_correct_asset""}",The correct answer is book.,book,school,8,False,
GB-0026,1,picture_to_word,raise_board,vocabulary,What is this?,What is this?,TRAIN,BIKE,BUS,CAR,BUS,"{""type"": ""image"", ""assetKey"": ""transport_bus"", ""emoji"": ""🚌""}","[{""id"": ""A"", ""label"": ""TRAIN""}, {""id"": ""B"", ""label"": ""BIKE""}, {""id"": ""C"", ""label"": ""BUS"", ""_correct"": true}, {""id"": ""D"", ""label"": ""CAR""}]","{""type"": ""option"", ""value"": ""C""}","{""afterWrong"": 2, ""text"": ""Look at the picture and listen again."", ""strategy"": ""replay_prompt""}",This is bus.,bus,transport,10,False,
GB-0027,1,color_recognition,answer_zone,vocabulary,Find PURPLE.,Find purple.,YELLOW,GREEN,PURPLE,ORANGE,PURPLE,"{""type"": ""colorSwatches""}","[{""id"": ""A"", ""label"": ""YELLOW"", ""assetKey"": ""color_yellow""}, {""id"": ""B"", ""label"": ""GREEN"", ""assetKey"": ""color_green""}, {""id"": ""C"", ""label"": ""PURPLE"", ""assetKey"": ""color_purple"", ""_correct"": true}, {""id"": ""D"", ""label"": ""ORANGE"", ""assetKey"": ""color_orange""}]","{""type"": ""option"", ""value"": ""C""}","{""afterWrong"": 2, ""text"": ""Find the purple color."", ""strategy"": ""soft_glow""}",The correct color is purple.,purple,colors,8,False,
GB-0028,1,shape_recognition,answer_zone,vocabulary,Find the SQUARE.,Find the square.,circle,star,square,rectangle,square,"{""type"": ""shapeSet""}","[{""id"": ""A"", ""label"": ""circle"", ""assetKey"": ""shape_circle"", ""emoji"": ""🔵""}, {""id"": ""B"", ""label"": ""star"", ""assetKey"": ""shape_star"", ""emoji"": ""⭐""}, {""id"": ""C"", ""label"": ""square"", ""assetKey"": ""shape_square"", ""emoji"": ""🟦"", ""_correct"": true}, {""id"": ""D"", ""label"": ""rectangle"", ""assetKey"": ""shape_rectangle"", ""emoji"": ""▭""}]","{""type"": ""option"", ""value"": ""C""}","{""afterWrong"": 2, ""text"": ""Look for the square."", ""strategy"": ""outline_hint""}",This shape is a square.,square,shapes,8,False,
GB-0029,1,count_objects,bell_choice,counting,How many cats are there?,How many cats are there?,5,4,2,3,5,"{""type"": ""scene"", ""objects"": [{""assetKey"": ""animals_cat"", ""count"": 5, ""color"": null}], ""description"": ""5 cats""}","[{""id"": ""A"", ""label"": ""5"", ""_correct"": true}, {""id"": ""B"", ""label"": ""4""}, {""id"": ""C"", ""label"": ""2""}, {""id"": ""D"", ""label"": ""3""}]","{""type"": ""option"", ""value"": ""A""}","{""afterWrong"": 2, ""text"": ""Count slowly: one, two, three..."", ""strategy"": ""count_bounce""}",There are 5 cats.,cat|5,numbers,10,False,
GB-0030,1,action_recognition,listen_run,listening,Who is running?,Who is running?,SIT,WRITE,RUN,SWIM,RUN,"{""type"": ""actionCards""}","[{""id"": ""A"", ""label"": ""SIT"", ""assetKey"": ""action_sit""}, {""id"": ""B"", ""label"": ""WRITE"", ""assetKey"": ""action_write""}, {""id"": ""C"", ""label"": ""RUN"", ""assetKey"": ""action_run"", ""_correct"": true}, {""id"": ""D"", ""label"": ""SWIM"", ""assetKey"": ""action_swim""}]","{""type"": ""option"", ""value"": ""C""}","{""afterWrong"": 2, ""text"": ""Watch the actions. Find running."", ""strategy"": ""replay_motion""}",The correct action is run.,run,actions,10,False,
GB-0031,1,listen_find_picture,listen_run,listening,Listen and find: CARROT.,Find the carrot.,bread,egg,carrot,watermelon,carrot,"{""type"": ""none""}","[{""id"": ""A"", ""label"": ""bread"", ""assetKey"": ""food_bread"", ""emoji"": ""🍞""}, {""id"": ""B"", ""label"": ""egg"", ""assetKey"": ""food_egg"", ""emoji"": ""🥚""}, {""id"": ""C"", ""label"": ""carrot"", ""assetKey"": ""food_carrot"", ""emoji"": ""🥕"", ""_correct"": true}, {""id"": ""D"", ""label"": ""watermelon"", ""assetKey"": ""food_watermelon"", ""emoji"": ""🍉""}]","{""type"": ""option"", ""value"": ""C""}","{""afterWrong"": 2, ""text"": ""Listen again: carrot."", ""strategy"": ""pulse_correct_asset""}",The correct answer is carrot.,carrot,food,8,False,
GB-0032,1,picture_to_word,raise_board,vocabulary,What is this?,What is this?,STUDENT,BAG,TEACHER,RULER,BAG,"{""type"": ""image"", ""assetKey"": ""school_bag"", ""emoji"": ""🎒""}","[{""id"": ""A"", ""label"": ""STUDENT""}, {""id"": ""B"", ""label"": ""BAG"", ""_correct"": true}, {""id"": ""C"", ""label"": ""TEACHER""}, {""id"": ""D"", ""label"": ""RULER""}]","{""type"": ""option"", ""value"": ""B""}","{""afterWrong"": 2, ""text"": ""Look at the picture and listen again."", ""strategy"": ""replay_prompt""}",This is bag.,bag,school,10,False,
GB-0033,1,color_recognition,answer_zone,vocabulary,Find ORANGE.,Find orange.,ORANGE,GREEN,RED,YELLOW,ORANGE,"{""type"": ""colorSwatches""}","[{""id"": ""A"", ""label"": ""ORANGE"", ""assetKey"": ""color_orange"", ""_correct"": true}, {""id"": ""B"", ""label"": ""GREEN"", ""assetKey"": ""color_green""}, {""id"": ""C"", ""label"": ""RED"", ""assetKey"": ""color_red""}, {""id"": ""D"", ""label"": ""YELLOW"", ""assetKey"": ""color_yellow""}]","{""type"": ""option"", ""value"": ""A""}","{""afterWrong"": 2, ""text"": ""Find the orange color."", ""strategy"": ""soft_glow""}",The correct color is orange.,orange,colors,8,False,
GB-0034,1,shape_recognition,answer_zone,vocabulary,Find the TRIANGLE.,Find the triangle.,heart,square,rectangle,triangle,triangle,"{""type"": ""shapeSet""}","[{""id"": ""A"", ""label"": ""heart"", ""assetKey"": ""shape_heart"", ""emoji"": ""❤️""}, {""id"": ""B"", ""label"": ""square"", ""assetKey"": ""shape_square"", ""emoji"": ""🟦""}, {""id"": ""C"", ""label"": ""rectangle"", ""assetKey"": ""shape_rectangle"", ""emoji"": ""▭""}, {""id"": ""D"", ""label"": ""triangle"", ""assetKey"": ""shape_triangle"", ""emoji"": ""🔺"", ""_correct"": true}]","{""type"": ""option"", ""value"": ""D""}","{""afterWrong"": 2, ""text"": ""Look for the triangle."", ""strategy"": ""outline_hint""}",This shape is a triangle.,triangle,shapes,8,False,
GB-0035,1,count_objects,bell_choice,counting,How many birds are there?,How many birds are there?,1,5,2,3,2,"{""type"": ""scene"", ""objects"": [{""assetKey"": ""animals_bird"", ""count"": 2, ""color"": null}], ""description"": ""2 birds""}","[{""id"": ""A"", ""label"": ""1""}, {""id"": ""B"", ""label"": ""5""}, {""id"": ""C"", ""label"": ""2"", ""_correct"": true}, {""id"": ""D"", ""label"": ""3""}]","{""type"": ""option"", ""value"": ""C""}","{""afterWrong"": 2, ""text"": ""Count slowly: one, two, three..."", ""strategy"": ""count_bounce""}",There are 2 birds.,bird|2,numbers,10,False,
GB-0036,1,action_recognition,listen_run,listening,Who is writing?,Who is writing?,DANCE,WRITE,READ,SLEEP,WRITE,"{""type"": ""actionCards""}","[{""id"": ""A"", ""label"": ""DANCE"", ""assetKey"": ""action_dance""}, {""id"": ""B"", ""label"": ""WRITE"", ""assetKey"": ""action_write"", ""_correct"": true}, {""id"": ""C"", ""label"": ""READ"", ""assetKey"": ""action_read""}, {""id"": ""D"", ""label"": ""SLEEP"", ""assetKey"": ""action_sleep""}]","{""type"": ""option"", ""value"": ""B""}","{""afterWrong"": 2, ""text"": ""Watch the actions. Find writing."", ""strategy"": ""replay_motion""}",The correct action is write.,write,actions,10,False,
GB-0037,1,listen_find_picture,listen_run,listening,Listen and find: CAKE.,Find the cake.,carrot,pear,grape,cake,cake,"{""type"": ""none""}","[{""id"": ""A"", ""label"": ""carrot"", ""assetKey"": ""food_carrot"", ""emoji"": ""🥕""}, {""id"": ""B"", ""label"": ""pear"", ""assetKey"": ""food_pear"", ""emoji"": ""🍐""}, {""id"": ""C"", ""label"": ""grape"", ""assetKey"": ""food_grape"", ""emoji"": ""🍇""}, {""id"": ""D"", ""label"": ""cake"", ""assetKey"": ""food_cake"", ""emoji"": ""🍰"", ""_correct"": true}]","{""type"": ""option"", ""value"": ""D""}","{""afterWrong"": 2, ""text"": ""Listen again: cake."", ""strategy"": ""pulse_correct_asset""}",The correct answer is cake.,cake,food,8,False,
GB-0038,1,picture_to_word,raise_board,vocabulary,What is this?,What is this?,CAT,BEE,RABBIT,BEAR,BEAR,"{""type"": ""image"", ""assetKey"": ""animals_bear"", ""emoji"": ""🐻""}","[{""id"": ""A"", ""label"": ""CAT""}, {""id"": ""B"", ""label"": ""BEE""}, {""id"": ""C"", ""label"": ""RABBIT""}, {""id"": ""D"", ""label"": ""BEAR"", ""_correct"": true}]","{""type"": ""option"", ""value"": ""D""}","{""afterWrong"": 2, ""text"": ""Look at the picture and listen again."", ""strategy"": ""replay_prompt""}",This is bear.,bear,animals,10,False,
GB-0039,1,color_recognition,answer_zone,vocabulary,Find RED.,Find red.,RED,YELLOW,PINK,PURPLE,RED,"{""type"": ""colorSwatches""}","[{""id"": ""A"", ""label"": ""RED"", ""assetKey"": ""color_red"", ""_correct"": true}, {""id"": ""B"", ""label"": ""YELLOW"", ""assetKey"": ""color_yellow""}, {""id"": ""C"", ""label"": ""PINK"", ""assetKey"": ""color_pink""}, {""id"": ""D"", ""label"": ""PURPLE"", ""assetKey"": ""color_purple""}]","{""type"": ""option"", ""value"": ""A""}","{""afterWrong"": 2, ""text"": ""Find the red color."", ""strategy"": ""soft_glow""}",The correct color is red.,red,colors,8,False,
GB-0040,1,shape_recognition,answer_zone,vocabulary,Find the STAR.,Find the star.,star,square,triangle,oval,star,"{""type"": ""shapeSet""}","[{""id"": ""A"", ""label"": ""star"", ""assetKey"": ""shape_star"", ""emoji"": ""⭐"", ""_correct"": true}, {""id"": ""B"", ""label"": ""square"", ""assetKey"": ""shape_square"", ""emoji"": ""🟦""}, {""id"": ""C"", ""label"": ""triangle"", ""assetKey"": ""shape_triangle"", ""emoji"": ""🔺""}, {""id"": ""D"", ""label"": ""oval"", ""assetKey"": ""shape_oval"", ""emoji"": ""🥚""}]","{""type"": ""option"", ""value"": ""A""}","{""afterWrong"": 2, ""text"": ""Look for the star."", ""strategy"": ""outline_hint""}",This shape is a star.,star,shapes,8,False,
